sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s104,11,3,4,0.3844122413470626,1.754
s104,12,3,12,1.0850862370511942,5.536
s104,13,4,4,0.4502922930467889,3.336
s104,14,1,12,0.7931575829738113,4.565
s104,15,4,8,0.6187874812065977,6.189
s104,16,2,8,0.6352867225042904,4.741
s104,17,3,8,0.5799408238250489,3.312
s104,18,2,4,0.7617884419411438,4.64
s104,19,3,12,0.7800545996909685,4.377
s104,20,1,4,0.21122228451185743,1.315
s104,21,1,4,0.3905856611544991,1.895
s104,22,2,12,0.8147393313729615,5.859
s104,23,2,4,0.2916432793043597,2.058
s104,24,3,12,0.846010154192302,4.404
s104,25,3,8,0.5719408791877445,2.507
s104,26,1,8,0.7334526426297608,3.307
s104,27,1,8,0.6393422411193489,3.041
s104,28,4,4,0.5800605335924319,4.276
s104,29,1,8,0.5136865560485557,2.399
s104,30,3,4,0.5588171066587964,2.551
s104,31,2,12,1.2741699710454502,9.035
s104,32,3,4,0.3235623150083644,1.451
s104,33,1,4,0.3949775560355017,1.717
s104,34,3,8,0.5643804038928012,2.472
s104,35,4,4,0.25531309789207357,1.758
s104,36,3,4,0.31816377749910085,1.673
s104,37,1,4,0.40847004384996655,1.71
s104,38,1,12,1.1359125719866672,4.906
s104,39,3,8,0.7250751589049977,3.922
s104,40,2,8,0.8820960164186351,7.171
s104,41,3,8,0.5211439482179913,3.642
s104,42,3,4,0.2755752417548926,1.339
s104,43,3,12,0.8556621502398841,3.677
s104,44,4,4,0.3386809211655881,2.027
s104,45,1,4,0.7532271719944632,2.946
s104,46,3,12,0.8694909569386917,4.009
s104,47,1,12,0.7220079543225693,3.889
s104,48,1,12,0.624425137425613,3.506
s104,49,3,4,0.600015475038361,2.73
s104,50,4,4,0.14142601380624129,1.171
s104,51,1,8,0.6905818147584665,3.112
s104,52,3,4,0.3508548225461792,1.581
s104,53,1,8,0.6721779691799272,3.433
s104,54,2,8,0.7046301724803368,4.749
s104,55,3,12,0.7546017489468931,3.994
s104,56,4,4,0.1283373970531876,1.119
s104,57,2,12,0.8392270924036579,5.565
s104,58,4,8,1.0956544958499017,7.737
s104,59,2,12,1.0558787586976854,7.768
s104,60,1,4,0.3177581506057512,1.366
s104,61,2,4,0.2485831914040385,1.631
s104,62,4,12,1.5697583116879048,11.716
s104,63,1,4,0.4619891532796434,1.967
s104,64,3,8,0.7874960983389985,3.482
s104,65,4,4,0.5606417094871778,2.508
s104,66,2,8,0.8462028765528561,4.372
s104,67,1,8,0.5402357219443887,3.621
s104,68,2,8,0.5415134164426237,4.067
s104,69,1,4,0.33716947840518485,1.701
s104,70,2,8,0.5169531382910448,3.379
s104,71,1,12,0.722237260374523,4.172
s104,72,1,12,0.8199536082619173,4.811
s104,73,2,4,0.2371313035514645,1.409
s104,74,1,12,1.0605789332838576,4.9
s104,75,3,12,1.0723857810310322,5.072
s104,76,4,8,0.6730165134909827,4.385
s104,77,3,8,0.7355766268096459,3.464
s104,78,4,4,0.19030810342218185,1.199
s104,79,2,4,0.25073726922339096,1.314
s104,80,3,12,1.1339840860964567,5.576
s104,81,3,8,0.6435254752463988,3.404
s104,82,3,12,0.6629666241816274,3.673
s104,83,3,12,0.9230520070810788,4.571
s104,84,3,12,0.9425458157577592,4.519
s104,85,2,4,0.2187901102530845,1.314
s104,86,3,12,0.6253763209490121,3.854
s104,87,4,4,0.18416452401634012,1.244
s104,88,3,8,0.9863441662351152,4.634
s104,89,3,12,0.706662981228369,4.207
s104,90,1,12,0.7568616626113632,4.601
s104,91,2,8,0.8364431399885327,4.065
s104,92,4,4,0.315681703961086,1.624
